Symbol,Name," Market capitalization as on December 31, 2023
(In Lakhs) "
GESHIP,The Great Eastern Shipping Company Limited,"  1,394,550 "
ARE&M,Amara Raja Energy & Mobility Limited,"  1,393,830 "
ZENSARTECH,Zensar Technologies Limited,"  1,383,254 "
REDINGTON,Redington Limited,"  1,382,072 "
ASTRAZEN,AstraZeneca Pharma India Limited,"  1,381,650 "
NUVOCO,Nuvoco Vistas Corporation Limited,"  1,366,122 "
BIKAJI,Bikaji Foods International Limited,"  1,365,905 "
CENTURYTEX,Century Textiles & Industries Limited,"  1,365,536 "
HAPPSTMNDS,Happiest Minds Technologies Limited,"  1,364,458 "
HSCL,Himadri Speciality Chemical Limited,"  1,363,950 "
KARURVYSYA,Karur Vysya Bank Limited,"  1,355,570 "
J&KBANK,The Jammu & Kashmir Bank Limited,"  1,354,454 "
ABSLAMC,Aditya Birla Sun Life AMC Limited,"  1,352,115 "
SWANENERGY,Swan Energy Limited,"  1,348,616 "
SFL,Sheela Foam Limited,"  1,348,282 "
TRITURBINE,Triveni Turbine Limited,"  1,348,275 "
BASF,BASF India Limited,"  1,327,289 "
JINDALSAW,Jindal Saw Limited,"  1,317,547 "
BLS,BLS International Services Limited,"  1,315,100 "
JWL,Jupiter Wagons Limited,"  1,315,011 "
RKFORGE,Ramkrishna Forgings Limited,"  1,311,893 "
FINPIPE,Finolex Industries Limited,"  1,309,206 "
CAMS,Computer Age Management Services Limited,"  1,302,433 "
ALKYLAMINE,Alkyl Amines Chemicals Limited,"  1,296,284 "
GMDCLTD,Gujarat Mineral Development Corporation Limited,"  1,294,260 "
GET&D,GE T&D India Limited,"  1,288,810 "
FSL,Firstsource Solutions Limited,"  1,288,388 "
WESTLIFE,WESTLIFE FOODWORLD LIMITED,"  1,273,765 "
ECLERX,eClerx Services Limited,"  1,270,541 "
VGUARD,V-Guard Industries Limited,"  1,267,856 "
NUVAMA,Nuvama Wealth Management Limited,"  1,264,325 "
MAHSEAMLES,Maharashtra Seamless Limited,"  1,239,962 "
ERIS,Eris Lifesciences Limited,"  1,237,812 "
AEGISCHEM,Aegis Logistics Limited,"  1,235,169 "
SIGNATURE,Signatureglobal (India) Limited,"  1,232,771 "
JAIBALAJI,Jai Balaji Industries Limited,"  1,222,399 "
AAVAS,Aavas Financiers Limited,"  1,212,567 "
RAINBOW,Rainbow Childrens Medicare Limited,"  1,210,966 "
HBLPOWER,HBL Power Systems Limited,"  1,209,679 "
RITES,RITES Limited,"  1,207,277 "
KSB,Ksb Limited,"  1,206,701 "
HFCL,HFCL Limited,"  1,202,312 "
SYRMA,Syrma SGS Technology Limited,"  1,191,596 "
EQUITASBNK,Equitas Small Finance Bank Limited,"  1,190,616 "
AKZOINDIA,Akzo Nobel India Limited,"  1,187,441 "
MGL,Mahanagar Gas Limited,"  1,185,827 "
BEML,BEML Limited,"  1,178,206 "
AETHER,Aether Industries Limited,"  1,176,119 "
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,"  1,169,915 "
KPIL,Kalpataru Projects International Limited,"  1,152,068 "
RAYMOND,Raymond Limited,"  1,147,165 "
INTELLECT,Intellect Design Arena Limited,"  1,142,935 "
CRAFTSMAN,Craftsman Automation Limited,"  1,142,249 "
BAJAJELEC,Bajaj Electricals Limited,"  1,137,553 "
ANURAS,Anupam Rasayan India Limited,"  1,132,118 "
VTL,Vardhman Textiles Limited,"  1,116,648 "
UJJIVANSFB,Ujjivan Small Finance Bank Limited,"  1,113,273 "
BIRLACORPN,Birla Corporation Limited,"  1,109,609 "
GRINFRA,G R Infraprojects Limited,"  1,106,316 "
OLECTRA,Olectra Greentech Limited,"  1,105,463 "
CUB,City Union Bank Limited,"  1,103,553 "
UTIAMC,UTI Asset Management Company Limited,"  1,102,147 "
BBTC,Bombay Burmah Trading Corporation Limited,"  1,098,419 "
GODFRYPHLP,Godfrey Phillips India Limited,"  1,096,474 "
NEWGEN,Newgen Software Technologies Limited,"  1,094,659 "
RAILTEL,Railtel Corporation Of India Limited,"  1,084,772 "
ANANDRATHI,Anand Rathi Wealth Limited,"  1,082,617 "
RAJESHEXPO,Rajesh Exports Limited,"  1,082,275 "
GRAPHITE,Graphite India Limited,"  1,074,957 "
GODREJAGRO,Godrej Agrovet Limited,"  1,071,479 "
ZYDUSWELL,Zydus Wellness Limited,"  1,069,720 "
GPIL,Godawari Power And Ispat limited,"  1,066,742 "
ALOKINDS,Alok Industries Limited,"  1,060,079 "
IBULHSGFIN,Indiabulls Housing Finance Limited,"  1,059,353 "
JKLAKSHMI,JK Lakshmi Cement Limited,"  1,058,325 "
AMBER,Amber Enterprises India Limited,"  1,056,433 "
RTNINDIA,RattanIndia Enterprises Limited,"  1,053,981 "
SPLPETRO,Supreme Petrochem Limited,"  1,052,279 "
MAPMYINDIA,C.E. Info Systems Limited,"  1,051,347 "
NCC,NCC Limited,"  1,046,934 "
DATAPATTNS,Data Patterns (India) Limited,"  1,041,974 "
ELECON,Elecon Engineering Company Limited,"  1,040,038 "
CHENNPETRO,Chennai Petroleum Corporation Limited,"  1,036,423 "
CANFINHOME,Can Fin Homes Limited,"  1,035,473 "
CAPLIPOINT,Caplin Point Laboratories Limited,"  1,029,870 "
TTKPRESTIG,TTK Prestige Limited,"  1,027,546 "
PRAJIND,Praj Industries Limited,"  1,021,445 "
CERA,Cera Sanitaryware Limited,"  1,020,610 "
SWSOLAR,Sterling and Wilson Renewable Energy Limited,"  1,007,275 "
RENUKA,Shree Renuka Sugars Limited,"  1,003,583 "
ROUTE,ROUTE MOBILE LIMITED,"  1,001,029 "
GRSE,Garden Reach Shipbuilders & Engineers Limited,"  1,000,325 "
EIDPARRY,EID Parry India Limited,"  988,595 "
ACE,Action Construction Equipment Limited,"  987,378 "
GALAXYSURF,Galaxy Surfactants Limited,"  984,135 "
INGERRAND,Ingersoll Rand (India) Limited,"  983,106 "
GRANULES,Granules India Limited,"  982,684 "
CEATLTD,CEAT Limited,"  981,724 "
JKTYRE,JK Tyre & Industries Limited,"  980,738 "
SCHNEIDER,Schneider Electric Infrastructure Limited,"  978,414 "
HAPPYFORGE,Happy Forgings Limited,"  969,604 "
ENGINERSIN,Engineers India Limited,"  963,622 "
GSFC,Gujarat State Fertilizers & Chemicals Limited,"  961,925 "
ANANTRAJ,Anant Raj Limited,"  956,408 "
JPPOWER,Jaiprakash Power Ventures Limited,"  956,058 "
SBFC,SBFC Finance Limited,"  955,657 "
KIRLOSENG,Kirloskar Oil Engines Limited,"  949,670 "
LEMONTREE,Lemon Tree Hotels Limited,"  949,507 "
PCBL,PCBL LIMITED,"  949,507 "
JMFINANCIL,JM Financial Limited,"  938,914 "
LATENTVIEW,Latent View Analytics Limited,"  936,966 "
SOBHA,Sobha Limited,"  934,896 "
SPARC,Sun Pharma Advanced Research Company Limited,"  930,665 "
SAFARI,Safari Industries (India) Limited,"  928,203 "
PRSMJOHNSN,Prism Johnson Limited,"  924,918 "
MINDACORP,Minda Corporation Limited,"  923,444 "
NETWORK18,Network18 Media & Investments Limited,"  914,510 "
ESABINDIA,Esab India Limited,"  905,379 "
