Symbol,Name," Market capitalization as on December 31, 2023
(In Lakhs) "
CEREBRAINT,Cerebra Integrated Technologies Limited,"  8,231 "
MAHICKRA,Mahickra Chemicals Limited,"  8,212 "
NAGREEKEXP,Nagreeka Exports Limited,"  8,169 "
MICROPRO,Micropro Software Solutions Limited,"  8,165 "
TRIDHYA,Tridhya Tech Limited,"  8,104 "
SECURCRED,SecUR Credentials Limited,"  8,089 "
CLSL,Crop Life Science Limited,"  8,030 "
VIAZ,Viaz Tyres Limited,"  8,024 "
AKG,Akg Exim Limited,"  7,928 "
TERASOFT,Tera Software Limited,"  7,770 "
AVSL,AVSL Industries Limited,"  7,767 "
TAPIFRUIT,Tapi Fruit Processing Limited,"  7,759 "
SCML,Sharp Chucks and Machines Limited,"  7,747 "
COMPINFO,Compuage Infocom Limited,"  7,719 "
JAIPURKURT,Nandani Creation Limited,"  7,701 "
GSTL,Globesecure Technologies Limited,"  7,674 "
SHRENIK,Shrenik Limited,"  7,650 "
SAMBHAAV,Sambhaav Media Limited,"  7,549 "
SHUBHLAXMI,Shubhlaxmi Jewel Art Limited,"  7,541 "
VINEETLAB,Vineet Laboratories Limited,"  7,527 "
MOKSH,Moksh Ornaments Limited,"  7,512 "
AROGRANITE,Aro Granite Industries Limited,"  7,466 "
KANANIIND,Kanani Industries Limited,"  7,371 "
PARASPETRO,Paras Petrofils Limited,"  7,353 "
SOMATEX,Soma Textiles & Industries Limited,"  7,234 "
ICDSLTD,ICDS Limited,"  7,204 "
PNC,Pritish Nandy Communications Limited,"  7,190 "
ACSAL,Arvind and Company Shipping Agencies Limited,"  7,180 "
ROML,Raj Oil Mills Limited,"  7,127 "
UCL,Ushanti Colour Chem Limited,"  7,117 "
BMETRICS,Bombay Metrics Supply Chain Limited,"  7,074 "
GANGAFORGE,Ganga Forging Limited,"  7,046 "
MANUGRAPH,Manugraph India Limited,"  7,011 "
SITINET,Siti Networks Limited,"  6,976 "
ANKITMETAL,Ankit Metal & Power Limited,"  6,844 "
MALUPAPER,Malu Paper Mills Limited,"  6,738 "
SHANTHALA,Shanthala FMCG Products Limited,"  6,668 "
AARVEEDEN,Aarvee Denims & Exports Limited,"  6,616 "
UWCSL,Ultra Wiring Connectivity System Limited,"  6,609 "
BANG,Bang Overseas Limited,"  6,529 "
SIDDHIKA,Siddhika Coatings Limited,"  6,519 "
PIGL,Power & Instrumentation (Gujarat) Limited,"  6,508 "
SERVICE,Service Care Limited,"  6,393 "
MAKS,Maks Energy Solutions India Limited,"  6,380 "
BANARBEADS,Banaras Beads Limited,"  6,344 "
REXPIPES,Rex Pipes And Cables Industries Limited,"  6,303 "
AISL,ANI Integrated Services Limited,"  6,282 "
NGIL,Nakoda Group of Industries Limited,"  6,235 "
AKASH,Akash Infra-Projects Limited,"  6,214 "
ISHAN,Ishan International Limited,"  6,109 "
TFL,Transwarranty Finance Limited,"  6,051 "
CBAZAAR,Net Avenue Technologies Limited,"  6,007 "
DNAMEDIA,Diligent Media Corporation Limited,"  6,003 "
GLOBE,Globe Textiles (India) Limited,"  5,970 "
COMMITTED,Committed Cargo Care Limited,"  5,945 "
JETFREIGHT,Jet Freight Logistics Limited,"  5,916 "
UMA,Uma Converter Limited,"  5,869 "
SPYL,Shekhawati Poly-Yarn Limited,"  5,860 "
FLFL,Future Lifestyle Fashions Limited,"  5,851 "
YCCL,Yasons Chemex Care Limited,"  5,830 "
BDR,BDR Buildcon Limited,"  5,824 "
PRECISION,Precision Metaliks Limited,"  5,739 "
MASTER,Master Components Limited,"  5,718 "
DKEGL,D.K. Enterprises Global Limited,"  5,706 "
EXCEL,Excel Realty N Infra Limited,"  5,643 "
DESTINY,Destiny Logistics & Infra Limited,"  5,617 "
AJOONI,Ajooni Biotech Limited,"  5,607 "
SANGANI,Sangani Hospitals Limited,"  5,600 "
WOMANCART,Womancart Limited,"  5,542 "
MADHAV,Madhav Marbles and Granites Limited,"  5,485 "
LFIC,Lakshmi Finance & Industrial Corporation Limited,"  5,472 "
BURNPUR,Burnpur Cement Limited,"  5,426 "
SEYAIND,Seya Industries Limited,"  5,420 "
JETKNIT,Jet Knitwears Limited,"  5,390 "
MILTON,Milton Industries Limited,"  5,345 "
VSCL,Vadivarhe Speciality Chemicals Limited,"  5,343 "
PEARLPOLY,Pearl Polymers Limited,"  5,295 "
HBSL,HB Stockholdings Limited,"  5,268 "
OMFURN,Omfurn India Limited,"  5,207 "
MADHUCON,Madhucon Projects Limited,"  5,166 "
ABMINTLLTD,ABM International Limited,"  5,165 "
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,"  5,145 "
ADL,Archidply Decor Limited,"  5,127 "
KEEPLEARN,DSJ Keep Learning Limited,"  5,080 "
BINANIIND,Binani Industries Limited,"  5,066 "
RKDL,Ravi Kumar Distilleries Limited,"  5,052 "
AGNI,Agni Green Power Limited,"  5,020 "
CMRSL,Cyber Media Research & Services Limited,"  5,007 "
SUULD,Suumaya Industries Limited,"  4,989 "
INDIFRA,Indifra Limited,"  4,986 "
CYBERMEDIA,Cyber Media (India) Limited,"  4,943 "
TCLCONS,Tantia Constructions Limited,"  4,932 "
SANGINITA,Sanginita Chemicals Limited,"  4,878 "
TIMESCAN,Timescan Logistics (India) Limited,"  4,857 "
FSC,Future Supply Chain Solutions Limited,"  4,849 "
3PLAND,3P Land Holdings Limited,"  4,842 "
LIBAS,Libas Consumer Products Limited,"  4,742 "
SRPL,Shree Ram Proteins Limited,"  4,712 "
SEL,Sungarner Energies Limited,"  4,707 "
KONTOR,Kontor Space Limited,"  4,703 "
VEEKAYEM,Veekayem Fashion and Apparels Limited,"  4,683 "
NIDAN,Nidan Laboratories and Healthcare Limited,"  4,629 "
SUPERSPIN,Super Spinning Mills Limited,"  4,620 "
SAGARDEEP,Sagardeep Alloys Limited,"  4,614 "
JFLLIFE,Jfl Life Sciences Limited,"  4,564 "
EDUCOMP,Educomp Solutions Limited,"  4,531 "
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,"  4,529 "
SONUINFRA,Sonu Infratech Limited,"  4,463 "
TGBHOTELS,TGB Banquets And Hotels Limited,"  4,452 "
ADROITINFO,Adroit Infotech Limited,"  4,449 "
ARISTO,Aristo Bio-Tech And Lifescience Limited,"  4,425 "
SGL,STL Global Limited,"  4,373 "
MARINETRAN,Marinetrans India Limited,"  4,371 "
ASLIND,ASL Industries Limited,"  4,344 "
GODHA,Godha Cabcon & Insulation Limited,"  4,331 "
DIACABS,Diamond Power Infrastructure Limited,"  4,319 "
LAXMICOT,Laxmi Cotspin Limited,"  4,304 "
PATTECH,Pattech Fitwell Tube Components Limited,"  4,189 "
JIWANRAM,Jiwanram Sheoduttrai Industries Limited,"  4,158 "
COUNCODOS,Country Condo's Limited,"  4,151 "
NEXTMEDIA,Next Mediaworks Limited,"  4,147 "
TNTELE,Tamilnadu Telecommunication Limited,"  4,133 "
ACEINTEG,Ace Integrated Solutions Limited,"  4,131 "
AGUL,A G Universal Limited,"  4,058 "
AGARWALFT,Agarwal Float Glass India Limited,"  4,056 "
BALKRISHNA,Balkrishna Paper Mills Limited,"  4,011 "
KKVAPOW,KKV Agro Powers Limited,"  3,968 "
AMEYA,Ameya Precision Engineers Limited,"  3,930 "
KHANDSE,Khandwala Securities Limited,"  3,913 "
GATECH,GACM Technologies Limited,"  3,893 "
TECILCHEM,TECIL Chemicals and Hydro Power Limited,"  3,888 "
WALPAR,Walpar Nutritions Limited,"  3,881 "
WILLAMAGOR,Williamson Magor & Company Limited,"  3,829 "
SHAIVAL,Shaival Reality Limited,"  3,825 "
BOHRAIND,Bohra Industries Limited,"  3,824 "
SAHAJ,Sahaj Fashions Limited,"  3,727 "
MEGAFLEX,Mega Flex Plastics Limited,"  3,546 "
FMNL,Future Market Networks Limited,"  3,539 "
21STCENMGM,21st Century Management Services Limited,"  3,460 "
KSHITIJPOL,Kshitij Polyline Limited,"  3,419 "
NKIND,NK Industries Limited,"  3,414 "
HEADSUP,Heads UP Ventures Limited,"  3,401 "
ROLLT,Rollatainers Limited,"  3,377 "
PLADAINFO,Plada Infotech Services Limited,"  3,357 "
GUJRAFFIA,Gujarat Raffia Industries Limited,"  3,264 "
VILINBIO,Vilin Bio Med Limited,"  3,250 "
KRIDHANINF,Kridhan Infra Limited,"  3,222 "
VIVIDHA,Visagar Polytex Limited,"  3,220 "
SABAR,Sabar Flex India Limited,"  3,210 "
QUADPRO,Quadpro Ites Limited,"  3,109 "
MITTAL,Mittal Life Style Limited,"  3,062 "
NARMADA,Narmada Agrobase Limited,"  3,015 "
INFOMEDIA,Infomedia Press Limited,"  3,012 "
IMPEXFERRO,Impex Ferro Tech Limited,"  2,990 "
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,"  2,944 "
QFIL,Quality Foils (India) Limited,"  2,940 "
CONTI,Continental Seeds and Chemicals Limited,"  2,886 "
MINDPOOL,Mindpool Technologies Limited,"  2,871 "
KAVVERITEL,Kavveri Telecom Products Limited,"  2,868 "
UNIINFO,Uniinfo Telecom Services Limited,"  2,866 "
MTEDUCARE,MT Educare Limited,"  2,853 "
LCCINFOTEC,LCC Infotech Limited,"  2,848 "
KHAITANLTD,Khaitan (India) Limited,"  2,845 "
CALSOFT,California Software Company Limited,"  2,813 "
SILGO,Silgo Retail Limited,"  2,799 "
MOXSH,Moxsh Overseas Educon Limited,"  2,779 "
ORIENTALTL,Oriental Trimex Limited,"  2,764 "
SUNREST,Sunrest Lifescience Limited,"  2,723 "
RICHA,Richa Info Systems Limited,"  2,722 "
HYBRIDFIN,Hybrid Financial Services Limited,"  2,708 "
VCL,Vaxtex Cotfab Limited,"  2,664 "
RITEZONE,Rite Zone Chemcon India Limited,"  2,654 "
SUPREMEENG,Supreme Engineering Limited,"  2,624 "
VERA,Vera Synthetic Limited,"  2,566 "
LRRPL,Lead Reclaim And Rubber Products Limited,"  2,500 "
MOHITIND,Mohit Industries Limited,"  2,463 "
WINSOME,Winsome Yarns Limited,"  2,404 "
OLIL,Oneclick Logistics India Limited,"  2,386 "
MASKINVEST,Mask Investments Limited,"  2,310 "
PERFECT,Perfect Infraengineers Limited,"  2,301 "
ANTGRAPHIC,Antarctica Limited,"  2,248 "
ONELIFECAP,Onelife Capital Advisors Limited,"  2,238 "
MPTODAY,Madhya Pradesh Today Media Limited,"  2,215 "
TECHIN,Techindia Nirman Limited,"  2,149 "
SAROJA,Saroja Pharma Industries India Limited,"  2,131 "
LYPSAGEMS,Lypsa Gems & Jewellery Limited,"  2,123 "
SPENTEX,Spentex Industries Limited,"  2,110 "
SHANTI,Shanti Overseas (India) Limited,"  1,977 "
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,"  1,962 "
EASTSILK,Eastern Silk Industries Limited,"  1,895 "
ORTINLAB,Ortin Laboratories Limited,"  1,878 "
GRETEX,Gretex Industries Limited,"  1,872 "
TIJARIA,Tijaria Polypipes Limited,"  1,832 "
OMKARCHEM,Omkar Speciality Chemicals Limited,"  1,821 "
VIVO,Vivo Collaboration Solutions Limited,"  1,814 "
SILLYMONKS,Silly Monks Entertainment Limited,"  1,721 "
SPRL,Sp Refractories Limited,"  1,700 "
AILIMITED,Abhishek Integrations Limited,"  1,683 "
DIGJAMLMTD,Digjam Limited,"  1,650 "
UMESLTD,Usha Martin Education & Solutions Limited,"  1,638 "
VIJIFIN,Viji Finance Limited,"  1,568 "
KANDARP,Kandarp Digi Smart BPO Limited,"  1,525 "
BRIGHT,Bright Solar Limited,"  1,525 "
TVVISION,TV Vision Limited,"  1,511 "
KCK,Kck Industries Limited,"  1,485 "
AMIABLE,Amiable Logistics (India) Limited,"  1,434 "
JAKHARIA,JAKHARIA FABRIC LIMITED,"  1,374 "
BLUECHIP,Blue Chip India Limited,"  1,355 "
ARENTERP,Rajdarshan Industries Limited,"  1,321 "
GLFL,Gujarat Lease Financing Limited,"  1,302 "
NORBTEAEXP,Norben Tea & Exports Limited,"  1,293 "
INNOVATIVE,Innovative Tyres and Tubes Limited,"  1,214 "
KALYANI,Kalyani Commercials Limited,"  1,193 "
TRANSWIND,Transwind Infrastructures Limited,"  1,177 "
DRL,Dhanuka Realty Limited,"  1,161 "
SMVD,SMVD Poly Pack Limited,"  1,078 "
EUROTEXIND,Eurotex Industries and Exports Limited,"  1,032 "
RADAAN,Radaan Mediaworks India Limited,"  1,029 "
SHYAMTEL,Shyam Telecom Limited,"  1,014 "
TARAPUR,Tarapur Transformers Limited,"  1,004 "
SABTN,Sri Adhikari Brothers Television Network Limited,  978 
MANAV,Manav Infra Projects Limited,  967 
PREMIER,Premier Limited,  957 
BKMINDST,Bkm Industries Limited,  917 
ACCORD,Accord Synergy Limited,  877 
ALPSINDUS,Alps Industries Limited,  861 
DCMFINSERV,DCM Financial Services Limited,  855 
ABNINT,A B N Intercorp Limited,  839 
SANCO,Sanco Industries Limited,  837 
AHIMSA,Ahimsa Industries Limited,  824 
CREATIVEYE,Creative Eye Limited,  812 
UNIVAFOODS,Univa Foods Limited,  795 
JALAN,Jalan Transolutions (India) Limited,  785 
BLUECOAST,Blue Coast Hotels Limited,  771 
NIRAJISPAT,Niraj Ispat Industries Limited,  672 
SABEVENTS,Sab Events & Governance Now Media Limited,  640 
MELSTAR,Melstar Information Technologies Limited,  607 
LAKPRE,Lakshmi Precision Screws Limited,  591 
BHALCHANDR,Bhalchandram Clothing Limited,  476 
SKSTEXTILE,SKS Textiles Limited,  425 
VASA,Vasa Retail and Overseas Ltd,  342 
ABHISHEK,Abhishek Corporation Limited,"*Not available for trading as on December 31, 2023"
AHLWEST,Asian Hotels (West) Limited,"*Not available for trading as on December 31, 2023"
AIFL,Ashapura Intimates Fashion Limited,"*Not available for trading as on December 31, 2023"
AJRINFRA,AJR INFRA AND TOLLING LIMITED,"*Not available for trading as on December 31, 2023"
ALCHEM,Alchemist Limited,"*Not available for trading as on December 31, 2023"
ANSALAPI,Ansal Properties & Infrastructure Limited,"*Not available for trading as on December 31, 2023"
ARCOTECH,Arcotech Limited,"*Not available for trading as on December 31, 2023"
ARSSINFRA,ARSS Infrastructure Projects Limited,"*Not available for trading as on December 31, 2023"
ASIL,Amit Spinning Industries Limited,"*Not available for trading as on December 31, 2023"
ATCOM,Atcom Technologies Limited,"*Not available for trading as on December 31, 2023"
ATLASCYCLE,Atlas Cycles (Haryana) Limited,"*Not available for trading as on December 31, 2023"
ATNINTER,ATN International Limited,"*Not available for trading as on December 31, 2023"
BALLARPUR,Ballarpur Industries Limited,"*Not available for trading as on December 31, 2023"
BGLOBAL,Bharatiya Global Infomedia Limited,"*Not available for trading as on December 31, 2023"
BHARATIDIL,Bharati Defence and Infrastructure Limited,"*Not available for trading as on December 31, 2023"
BILENERGY,Bil Energy Systems Limited,"*Not available for trading as on December 31, 2023"
BIRLATYRE,Birla Tyres Limited,"*Not available for trading as on December 31, 2023"
BLUEBLENDS,Blue Blends (I) Limited,"*Not available for trading as on December 31, 2023"
BRFL,Bombay Rayon Fashions Limited,"*Not available for trading as on December 31, 2023"
CANDC,C & C Constructions Limited,"*Not available for trading as on December 31, 2023"
CCCL,Consolidated Construction Consortium Limited,"*Not available for trading as on December 31, 2023"
CELESTIAL,Celestial Biolabs Limited,"*Not available for trading as on December 31, 2023"
CKFSL,Cox & Kings Financial Service Limited,"*Not available for trading as on December 31, 2023"
CMICABLES,CMI Limited,"*Not available for trading as on December 31, 2023"
DHARSUGAR,Dharani Sugars & Chemicals Limited,"*Not available for trading as on December 31, 2023"
DQE,DQ Entertainment (International) Limited,"*Not available for trading as on December 31, 2023"
DSKULKARNI,DS Kulkarni Developers Limited,"*Not available for trading as on December 31, 2023"
EASTSUGIND,Eastern Sug & Inds Limited,"*Not available for trading as on December 31, 2023"
EASUNREYRL,Easun Reyrolle Limited,"*Not available for trading as on December 31, 2023"
EON,Eon Electric Limited,"*Not available for trading as on December 31, 2023"
EUROCERA,Euro Ceramics Limited,"*Not available for trading as on December 31, 2023"
EUROMULTI,Euro Multivision Limited,"*Not available for trading as on December 31, 2023"
FEDDERELEC,Fedders Electric and Engineering Limited,"*Not available for trading as on December 31, 2023"
FEL,Future Enterprises Limited,"*Not available for trading as on December 31, 2023"
GAMMONIND,Gammon India Limited,"*Not available for trading as on December 31, 2023"
GANGOTRI,Gangotri Textiles Limited,"*Not available for trading as on December 31, 2023"
GAYAHWS,Gayatri Highways Limited,"*Not available for trading as on December 31, 2023"
GAYAPROJ,Gayatri Projects Limited,"*Not available for trading as on December 31, 2023"
GBGLOBAL,GB Global Limited,"*Not available for trading as on December 31, 2023"
GFSTEELS,Grand Foundry Limited,"*Not available for trading as on December 31, 2023"
GITANJALI,Gitanjali Gems Limited,"*Not available for trading as on December 31, 2023"
GOENKA,Goenka Diamond and Jewels Limited,"*Not available for trading as on December 31, 2023"
HDIL,Housing Development and Infrastructure Limited,"*Not available for trading as on December 31, 2023"
HINDNATGLS,Hindusthan National Glass & Industries Limited,"*Not available for trading as on December 31, 2023"
ICSA,ICSA (India) Limited,"*Not available for trading as on December 31, 2023"
INDLMETER,IMP Powers Limited,"*Not available for trading as on December 31, 2023"
INDOSOLAR,Indosolar Limited,"*Not available for trading as on December 31, 2023"
IVRCLINFRA,IVRCL Limited,"*Not available for trading as on December 31, 2023"
JAINSTUDIO,Jain Studios Limited,"*Not available for trading as on December 31, 2023"
JBFIND,JBF Industries Limited,"*Not available for trading as on December 31, 2023"
JIKIND,JIK Industries Limited,"*Not available for trading as on December 31, 2023"
JINDCOT,Jindal Cotex Limited,"*Not available for trading as on December 31, 2023"
JPINFRATEC,Jaypee Infratech Limited,"*Not available for trading as on December 31, 2023"
KGL,Karuturi Global Limited,"*Not available for trading as on December 31, 2023"
KSERASERA,KSS Limited,"*Not available for trading as on December 31, 2023"
KSK,KSK Energy Ventures Limited,"*Not available for trading as on December 31, 2023"
LAKSHMIEFL,Lakshmi Energy and Foods Limited,"*Not available for trading as on December 31, 2023"
LEEL,LEEL Electricals Limited,"*Not available for trading as on December 31, 2023"
MANPASAND,Manpasand Beverages Limited,"*Not available for trading as on December 31, 2023"
MCDHOLDING,McDowell Holdings Limited,"*Not available for trading as on December 31, 2023"
MERCATOR,Mercator Limited,"*Not available for trading as on December 31, 2023"
METALFORGE,Metalyst Forgings Limited,"*Not available for trading as on December 31, 2023"
METKORE,Metkore Alloys & Industries Limited,"*Not available for trading as on December 31, 2023"
MODTHREAD,Modern Thread Limited,"*Not available for trading as on December 31, 2023"
MOHOTAIND,Mohota Industries Limited,"*Not available for trading as on December 31, 2023"
MVL,MVL Limited,"*Not available for trading as on December 31, 2023"
NAKODA,Nakoda Limited,"*Not available for trading as on December 31, 2023"
NITINFIRE,Nitin Fire Protection Industries Limited,"*Not available for trading as on December 31, 2023"
NTL,Neueon Towers Limited,"*Not available for trading as on December 31, 2023"
NUTEK,Nu Tek India Limited,"*Not available for trading as on December 31, 2023"
OPTOCIRCUI,Opto Circuits (India) Limited,"*Not available for trading as on December 31, 2023"
ORTEL,Ortel Communications Limited,"*Not available for trading as on December 31, 2023"
PDPL,Parenteral Drugs (India) Limited,"*Not available for trading as on December 31, 2023"
PINCON,Pincon Spirit Limited,"*Not available for trading as on December 31, 2023"
PRATIBHA,Pratibha Industries Limited,"*Not available for trading as on December 31, 2023"
PUNJLLOYD,Punj Lloyd Limited,"*Not available for trading as on December 31, 2023"
QUINTEGRA,Quintegra Solutions Limited,"*Not available for trading as on December 31, 2023"
RAINBOWPAP,Rainbow Papers Limited,"*Not available for trading as on December 31, 2023"
RAJVIR,Rajvir Industries Limited,"*Not available for trading as on December 31, 2023"
RCOM,Reliance Communications Limited,"*Not available for trading as on December 31, 2023"
RELCAPITAL,Reliance Capital Limited,"*Not available for trading as on December 31, 2023"
RMCL,Radha Madhav Corporation Limited,"*Not available for trading as on December 31, 2023"
RMMIL,Resurgere Mines & Minerals Limited,"*Not available for trading as on December 31, 2023"
RNAVAL,Reliance Naval and Engineering Limited,"*Not available for trading as on December 31, 2023"
ROLTA,Rolta India Limited,"*Not available for trading as on December 31, 2023"
RUSHABEAR,Rushabh Precision Bearings Limited,"*Not available for trading as on December 31, 2023"
SANWARIA,Sanwaria Consumer Limited,"*Not available for trading as on December 31, 2023"
SATHAISPAT,Sathavahana Ispat Limited,"*Not available for trading as on December 31, 2023"
SBIHOMEFIN,SBI Home Finance Limited,"*Not available for trading as on December 31, 2023"
SETUINFRA,Setubandhan Infrastructure Limited,"*Not available for trading as on December 31, 2023"
SHARONBIO,Sharon Bio-Medicine Limited,"*Not available for trading as on December 31, 2023"
SHIRPUR-G,Shirpur Gold Refinery Limited,"*Not available for trading as on December 31, 2023"
SKIL,SKIL Infrastructure Limited,"*Not available for trading as on December 31, 2023"
SPTL,Sintex Plastics Technology Limited,"*Not available for trading as on December 31, 2023"
SUMEETINDS,Sumeet Industries Limited,"*Not available for trading as on December 31, 2023"
TALWALKARS,Talwalkars Better Value Fitness Limited,"*Not available for trading as on December 31, 2023"
TALWGYM,Talwalkars Healthclubs Limited,"*Not available for trading as on December 31, 2023"
TANTIACONS,Tantia Constructions Limited,"*Not available for trading as on December 31, 2023"
TCIFINANCE,TCI Finance Limited,"*Not available for trading as on December 31, 2023"
TECHNOFAB,Technofab Engineering Limited,"*Not available for trading as on December 31, 2023"
TULSI,Tulsi Extrusions Limited,"*Not available for trading as on December 31, 2023"
UJAAS,Ujaas Energy Limited,"*Not available for trading as on December 31, 2023"
UNIPLY,Uniply Industries Limited,"*Not available for trading as on December 31, 2023"
UNITY,Unity Infraprojects Limited,"*Not available for trading as on December 31, 2023"
VALECHAENG,Valecha Engineering Limited,"*Not available for trading as on December 31, 2023"
VALUEIND,Value Industries Limited,"*Not available for trading as on December 31, 2023"
VICEROY,Viceroy Hotels Limited,"*Not available for trading as on December 31, 2023"
VIDEOIND,Videocon Industries Limited,"*Not available for trading as on December 31, 2023"
VISASTEEL,Visa Steel Limited,"*Not available for trading as on December 31, 2023"
VISUINTL,Visu International Limited,"*Not available for trading as on December 31, 2023"
VIVIMEDLAB,Vivimed Labs Limited,"*Not available for trading as on December 31, 2023"
ZICOM,Zicom Electronic Security Systems Limited,"*Not available for trading as on December 31, 2023"
